5000
'English0','TianTian','6A017'
'Physics0','HongYuyang','6B401'
'Chemistry0','ZhuXiaowei','6C300'
'Biology0','WangChaofan','5103'
'Chinese0','FanHang','4302'
'Maths0','ZhengZhongxiang','6A118'
'Art0','RuZhen','6C202'
'Music0','CaiHongTao','6B317'
'History0','ZhangDongYun','6C104'
'Geography0','LiMengYing','3100'
'English1','TianTian','6A017'
'Physics1','HongYuyang','6B401'
'Chemistry1','ZhuXiaowei','6C300'
'Biology1','WangChaofan','5103'
'Chinese1','FanHang','4302'
'Maths1','ZhengZhongxiang','6A118'
'Art1','RuZhen','6C202'
'Music1','CaiHongTao','6B317'
'History1','ZhangDongYun','6C104'
'Geography1','LiMengYing','3100'
'English2','TianTian','6A017'
'Physics2','HongYuyang','6B401'
'Chemistry2','ZhuXiaowei','6C300'
'Biology2','WangChaofan','5103'
'Chinese2','FanHang','4302'
'Maths2','ZhengZhongxiang','6A118'
'Art2','RuZhen','6C202'
'Music2','CaiHongTao','6B317'
'History2','ZhangDongYun','6C104'
'Geography2','LiMengYing','3100'
'English3','TianTian','6A017'
'Physics3','HongYuyang','6B401'
'Chemistry3','ZhuXiaowei','6C300'
'Biology3','WangChaofan','5103'
'Chinese3','FanHang','4302'
'Maths3','ZhengZhongxiang','6A118'
'Art3','RuZhen','6C202'
'Music3','CaiHongTao','6B317'
'History3','ZhangDongYun','6C104'
'Geography3','LiMengYing','3100'
'English4','TianTian','6A017'
'Physics4','HongYuyang','6B401'
'Chemistry4','ZhuXiaowei','6C300'
'Biology4','WangChaofan','5103'
'Chinese4','FanHang','4302'
'Maths4','ZhengZhongxiang','6A118'
'Art4','RuZhen','6C202'
'Music4','CaiHongTao','6B317'
'History4','ZhangDongYun','6C104'
'Geography4','LiMengYing','3100'
'English5','TianTian','6A017'
'Physics5','HongYuyang','6B401'
'Chemistry5','ZhuXiaowei','6C300'
'Biology5','WangChaofan','5103'
'Chinese5','FanHang','4302'
'Maths5','ZhengZhongxiang','6A118'
'Art5','RuZhen','6C202'
'Music5','CaiHongTao','6B317'
'History5','ZhangDongYun','6C104'
'Geography5','LiMengYing','3100'
'English6','TianTian','6A017'
'Physics6','HongYuyang','6B401'
'Chemistry6','ZhuXiaowei','6C300'
'Biology6','WangChaofan','5103'
'Chinese6','FanHang','4302'
'Maths6','ZhengZhongxiang','6A118'
'Art6','RuZhen','6C202'
'Music6','CaiHongTao','6B317'
'History6','ZhangDongYun','6C104'
'Geography6','LiMengYing','3100'
'English7','TianTian','6A017'
'Physics7','HongYuyang','6B401'
'Chemistry7','ZhuXiaowei','6C300'
'Biology7','WangChaofan','5103'
'Chinese7','FanHang','4302'
'Maths7','ZhengZhongxiang','6A118'
'Art7','RuZhen','6C202'
'Music7','CaiHongTao','6B317'
'History7','ZhangDongYun','6C104'
'Geography7','LiMengYing','3100'
'English8','TianTian','6A017'
'Physics8','HongYuyang','6B401'
'Chemistry8','ZhuXiaowei','6C300'
'Biology8','WangChaofan','5103'
'Chinese8','FanHang','4302'
'Maths8','ZhengZhongxiang','6A118'
'Art8','RuZhen','6C202'
'Music8','CaiHongTao','6B317'
'History8','ZhangDongYun','6C104'
'Geography8','LiMengYing','3100'
'English9','TianTian','6A017'
'Physics9','HongYuyang','6B401'
'Chemistry9','ZhuXiaowei','6C300'
'Biology9','WangChaofan','5103'
'Chinese9','FanHang','4302'
'Maths9','ZhengZhongxiang','6A118'
'Art9','RuZhen','6C202'
'Music9','CaiHongTao','6B317'
'History9','ZhangDongYun','6C104'
'Geography9','LiMengYing','3100'
'English10','TianTian','6A017'
'Physics10','HongYuyang','6B401'
'Chemistry10','ZhuXiaowei','6C300'
'Biology10','WangChaofan','5103'
'Chinese10','FanHang','4302'
'Maths10','ZhengZhongxiang','6A118'
'Art10','RuZhen','6C202'
'Music10','CaiHongTao','6B317'
'History10','ZhangDongYun','6C104'
'Geography10','LiMengYing','3100'
'English11','TianTian','6A017'
'Physics11','HongYuyang','6B401'
'Chemistry11','ZhuXiaowei','6C300'
'Biology11','WangChaofan','5103'
'Chinese11','FanHang','4302'
'Maths11','ZhengZhongxiang','6A118'
'Art11','RuZhen','6C202'
'Music11','CaiHongTao','6B317'
'History11','ZhangDongYun','6C104'
'Geography11','LiMengYing','3100'
'English12','TianTian','6A017'
'Physics12','HongYuyang','6B401'
'Chemistry12','ZhuXiaowei','6C300'
'Biology12','WangChaofan','5103'
'Chinese12','FanHang','4302'
'Maths12','ZhengZhongxiang','6A118'
'Art12','RuZhen','6C202'
'Music12','CaiHongTao','6B317'
'History12','ZhangDongYun','6C104'
'Geography12','LiMengYing','3100'
'English13','TianTian','6A017'
'Physics13','HongYuyang','6B401'
'Chemistry13','ZhuXiaowei','6C300'
'Biology13','WangChaofan','5103'
'Chinese13','FanHang','4302'
'Maths13','ZhengZhongxiang','6A118'
'Art13','RuZhen','6C202'
'Music13','CaiHongTao','6B317'
'History13','ZhangDongYun','6C104'
'Geography13','LiMengYing','3100'
'English14','TianTian','6A017'
'Physics14','HongYuyang','6B401'
'Chemistry14','ZhuXiaowei','6C300'
'Biology14','WangChaofan','5103'
'Chinese14','FanHang','4302'
'Maths14','ZhengZhongxiang','6A118'
'Art14','RuZhen','6C202'
'Music14','CaiHongTao','6B317'
'History14','ZhangDongYun','6C104'
'Geography14','LiMengYing','3100'
'English15','TianTian','6A017'
'Physics15','HongYuyang','6B401'
'Chemistry15','ZhuXiaowei','6C300'
'Biology15','WangChaofan','5103'
'Chinese15','FanHang','4302'
'Maths15','ZhengZhongxiang','6A118'
'Art15','RuZhen','6C202'
'Music15','CaiHongTao','6B317'
'History15','ZhangDongYun','6C104'
'Geography15','LiMengYing','3100'
'English16','TianTian','6A017'
'Physics16','HongYuyang','6B401'
'Chemistry16','ZhuXiaowei','6C300'
'Biology16','WangChaofan','5103'
'Chinese16','FanHang','4302'
'Maths16','ZhengZhongxiang','6A118'
'Art16','RuZhen','6C202'
'Music16','CaiHongTao','6B317'
'History16','ZhangDongYun','6C104'
'Geography16','LiMengYing','3100'
'English17','TianTian','6A017'
'Physics17','HongYuyang','6B401'
'Chemistry17','ZhuXiaowei','6C300'
'Biology17','WangChaofan','5103'
'Chinese17','FanHang','4302'
'Maths17','ZhengZhongxiang','6A118'
'Art17','RuZhen','6C202'
'Music17','CaiHongTao','6B317'
'History17','ZhangDongYun','6C104'
'Geography17','LiMengYing','3100'
'English18','TianTian','6A017'
'Physics18','HongYuyang','6B401'
'Chemistry18','ZhuXiaowei','6C300'
'Biology18','WangChaofan','5103'
'Chinese18','FanHang','4302'
'Maths18','ZhengZhongxiang','6A118'
'Art18','RuZhen','6C202'
'Music18','CaiHongTao','6B317'
'History18','ZhangDongYun','6C104'
'Geography18','LiMengYing','3100'
'English19','TianTian','6A017'
'Physics19','HongYuyang','6B401'
'Chemistry19','ZhuXiaowei','6C300'
'Biology19','WangChaofan','5103'
'Chinese19','FanHang','4302'
